Leaf number,spectrometer,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,Time,position,Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml),position stdev,vial number stdev,Absorbance (647) stdev,Absorbance (664) stdev,Chlorophyll a (ug/ml) stdev,Chlorophyll b (ug/ml) stdev,Total Chlorophyll (ug/ml) stdev
Leaf: 31,b'AS7262',16,150,0.119196981,0.138597835,0.257050275,0.247519785,0.19962672399999998,0.14569816300000002,11:03:16,pos 1,0.22002364,0.046069045,0.266092685,1.5811388300841898,1.5811388300841898,0.0010709808588392237,0.002250555486985384,0.005044312580998546,0.004615937488332513,0.005275166667649421
Leaf: 31,b'AS7262',16,200,0.120803906,0.139192009,0.25523884,0.245930681,0.19854337600000002,0.14435347099999998,11:03:16,pos 1,0.22002364,0.046069045,0.266092685,1.5811388300841898,1.5811388300841898,0.0010709808588392237,0.002250555486985384,0.005044312580998546,0.004615937488332513,0.005275166667649421
Leaf: 31,b'AS7262',16,250,0.121514735,0.137394331,0.254488562,0.24547275300000002,0.19770841,0.143956765,11:03:16,pos 1,0.22002364,0.046069045,0.266092685,1.5811388300841898,1.5811388300841898,0.0010709808588392237,0.002250555486985384,0.005044312580998546,0.004615937488332513,0.005275166667649421
Leaf: 31,b'AS7262',16,150,0.10682211,0.132015344,0.252353834,0.23324889199999999,0.187570514,0.130838719,11:03:36,pos 2,0.22002364,0.046069045,0.266092685,1.5811388300841898,1.5811388300841898,0.0010709808588392237,0.002250555486985384,0.005044312580998546,0.004615937488332513,0.005275166667649421
Leaf: 31,b'AS7262',16,200,0.10840855699999999,0.13071459,0.249932396,0.231259844,0.18628939600000002,0.129822295,11:03:36,pos 2,0.22002364,0.046069045,0.266092685,1.5811388300841898,1.5811388300841898,0.0010709808588392237,0.002250555486985384,0.005044312580998546,0.004615937488332513,0.005275166667649421
Leaf: 31,b'AS7262',16,250,0.10890297800000001,0.129585104,0.24824530600000003,0.22992841,0.18524347600000002,0.129244804,11:03:37,pos 2,0.22002364,0.046069045,0.266092685,1.5811388300841898,1.5811388300841898,0.0010709808588392237,0.002250555486985384,0.005044312580998546,0.004615937488332513,0.005275166667649421
Leaf: 31,b'AS7262',16,150,0.131384056,0.143035976,0.265479591,0.253573167,0.207174777,0.144996552,11:03:55,pos 3,0.22002364,0.046069045,0.266092685,1.5811388300841898,1.5811388300841898,0.0010709808588392237,0.002250555486985384,0.005044312580998546,0.004615937488332513,0.005275166667649421
Leaf: 31,b'AS7262',16,200,0.134483648,0.141423608,0.262786693,0.250807851,0.20649958,0.142909776,11:03:55,pos 3,0.22002364,0.046069045,0.266092685,1.5811388300841898,1.5811388300841898,0.0010709808588392237,0.002250555486985384,0.005044312580998546,0.004615937488332513,0.005275166667649421
Leaf: 31,b'AS7262',16,250,0.134253155,0.139827866,0.25927534,0.24786273,0.20348186,0.141808776,11:03:55,pos 3,0.22002364,0.046069045,0.266092685,1.5811388300841898,1.5811388300841898,0.0010709808588392237,0.002250555486985384,0.005044312580998546,0.004615937488332513,0.005275166667649421
Leaf: 32,b'AS7262',16,150,0.11662814699999999,0.158062686,0.28577823,0.270499735,0.21468166600000002,0.152947995,11:06:34,pos 1,0.292969766,0.06204836,0.355018126,1.5811388300841898,1.5811388300841898,0.0009685040010242593,0.002432488437793701,0.005064258357191503,0.002043609932617231,0.006488931805840286
Leaf: 32,b'AS7262',16,200,0.11872779900000001,0.155436311,0.283280466,0.268450558,0.21353154300000002,0.15196311,11:06:34,pos 1,0.292969766,0.06204836,0.355018126,1.5811388300841898,1.5811388300841898,0.0009685040010242593,0.002432488437793701,0.005064258357191503,0.002043609932617231,0.006488931805840286
Leaf: 32,b'AS7262',16,250,0.119473748,0.155526065,0.281028014,0.26650593100000003,0.21208357,0.15110221199999999,11:06:34,pos 1,0.292969766,0.06204836,0.355018126,1.5811388300841898,1.5811388300841898,0.0009685040010242593,0.002432488437793701,0.005064258357191503,0.002043609932617231,0.006488931805840286
Leaf: 32,b'AS7262',16,150,0.08843001800000001,0.104521844,0.20919493100000003,0.198486335,0.168828824,0.113100924,11:06:51,pos 2,0.292969766,0.06204836,0.355018126,1.5811388300841898,1.5811388300841898,0.0009685040010242593,0.002432488437793701,0.005064258357191503,0.002043609932617231,0.006488931805840286
Leaf: 32,b'AS7262',16,200,0.089828768,0.103536986,0.207060197,0.196742952,0.167488669,0.112336355,11:06:51,pos 2,0.292969766,0.06204836,0.355018126,1.5811388300841898,1.5811388300841898,0.0009685040010242593,0.002432488437793701,0.005064258357191503,0.002043609932617231,0.006488931805840286
Leaf: 32,b'AS7262',16,250,0.09037951400000001,0.10293607800000001,0.205625627,0.195571463,0.16666613,0.111899195,11:06:51,pos 2,0.292969766,0.06204836,0.355018126,1.5811388300841898,1.5811388300841898,0.0009685040010242593,0.002432488437793701,0.005064258357191503,0.002043609932617231,0.006488931805840286
Leaf: 32,b'AS7262',16,150,0.126844691,0.155669105,0.288400938,0.268743298,0.235384752,0.17320434199999998,11:07:11,pos 3,0.292969766,0.06204836,0.355018126,1.5811388300841898,1.5811388300841898,0.0009685040010242593,0.002432488437793701,0.005064258357191503,0.002043609932617231,0.006488931805840286
Leaf: 32,b'AS7262',16,200,0.12862464199999998,0.152182467,0.284973038,0.265964845,0.23372633,0.172106907,11:07:11,pos 3,0.292969766,0.06204836,0.355018126,1.5811388300841898,1.5811388300841898,0.0009685040010242593,0.002432488437793701,0.005064258357191503,0.002043609932617231,0.006488931805840286
Leaf: 32,b'AS7262',16,250,0.12881293800000002,0.152294669,0.282023432,0.263062091,0.231437262,0.169645985,11:07:11,pos 3,0.292969766,0.06204836,0.355018126,1.5811388300841898,1.5811388300841898,0.0009685040010242593,0.002432488437793701,0.005064258357191503,0.002043609932617231,0.006488931805840286
Leaf: 33,b'AS7262',16,150,0.10498058199999999,0.10201184599999999,0.11966890300000001,0.12468518599999999,0.10566180300000001,0.126880991,11:15:35,pos 1,0.534325045,0.14901909900000002,0.6833441440000001,1.5811388300841898,1.5811388300841898,0.0059434838268476835,0.014641550464346315,0.03015080927294195,0.010207064509232073,0.04025968063296639
Leaf: 33,b'AS7262',16,200,0.10661393,0.10061972,0.118260009,0.123498545,0.104863322,0.125977008,11:15:35,pos 1,0.534325045,0.14901909900000002,0.6833441440000001,1.5811388300841898,1.5811388300841898,0.0059434838268476835,0.014641550464346315,0.03015080927294195,0.010207064509232073,0.04025968063296639
Leaf: 33,b'AS7262',16,250,0.10704499199999999,0.10012350800000001,0.117795235,0.122962204,0.104248735,0.125477805,11:15:35,pos 1,0.534325045,0.14901909900000002,0.6833441440000001,1.5811388300841898,1.5811388300841898,0.0059434838268476835,0.014641550464346315,0.03015080927294195,0.010207064509232073,0.04025968063296639
Leaf: 33,b'AS7262',16,150,0.085521057,0.08818198,0.126805134,0.125563405,0.09993147699999999,0.088257216,11:15:58,pos 2,0.534325045,0.14901909900000002,0.6833441440000001,1.5811388300841898,1.5811388300841898,0.0059434838268476835,0.014641550464346315,0.03015080927294195,0.010207064509232073,0.04025968063296639
Leaf: 33,b'AS7262',16,200,0.086749749,0.087716565,0.125643185,0.12459631800000001,0.09931788,0.087820966,11:15:58,pos 2,0.534325045,0.14901909900000002,0.6833441440000001,1.5811388300841898,1.5811388300841898,0.0059434838268476835,0.014641550464346315,0.03015080927294195,0.010207064509232073,0.04025968063296639
Leaf: 33,b'AS7262',16,250,0.087311012,0.087307656,0.125216893,0.124116435,0.098832633,0.087462074,11:15:58,pos 2,0.534325045,0.14901909900000002,0.6833441440000001,1.5811388300841898,1.5811388300841898,0.0059434838268476835,0.014641550464346315,0.03015080927294195,0.010207064509232073,0.04025968063296639
Leaf: 33,b'AS7262',16,150,0.120581004,0.108112284,0.157936119,0.158454465,0.136891041,0.12161002300000001,11:16:16,pos 3,0.534325045,0.14901909900000002,0.6833441440000001,1.5811388300841898,1.5811388300841898,0.0059434838268476835,0.014641550464346315,0.03015080927294195,0.010207064509232073,0.04025968063296639
Leaf: 33,b'AS7262',16,200,0.122431427,0.10760115099999999,0.156383846,0.157309725,0.135779373,0.12159203800000001,11:16:16,pos 3,0.534325045,0.14901909900000002,0.6833441440000001,1.5811388300841898,1.5811388300841898,0.0059434838268476835,0.014641550464346315,0.03015080927294195,0.010207064509232073,0.04025968063296639
Leaf: 33,b'AS7262',16,250,0.12321786,0.10727451,0.155664786,0.156208799,0.135272569,0.120426335,11:16:16,pos 3,0.534325045,0.14901909900000002,0.6833441440000001,1.5811388300841898,1.5811388300841898,0.0059434838268476835,0.014641550464346315,0.03015080927294195,0.010207064509232073,0.04025968063296639
Leaf: 34,b'AS7262',16,150,0.072876469,0.077709855,0.103371506,0.101234815,0.084558195,0.071652773,11:17:11,pos 1,0.637440288,0.17858709899999997,0.816027387,1.5811388300841898,1.5811388300841898,0.00949015279118308,0.024725027805848863,0.05123465347168784,0.015255760569673631,0.06591584901684179
Leaf: 34,b'AS7262',16,200,0.073800215,0.07634681,0.102221812,0.100210226,0.083898349,0.07091519,11:17:11,pos 1,0.637440288,0.17858709899999997,0.816027387,1.5811388300841898,1.5811388300841898,0.00949015279118308,0.024725027805848863,0.05123465347168784,0.015255760569673631,0.06591584901684179
